# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: C:\Users\innovlab\workspace\EyeSat_CMOS_Image_Sensor\FPGA_Program\de0_cyclone3\pin_assignment.csv
# Generated on: Wed Jun 08 18:30:33 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
DRAM_CKE,Output,PIN_E6,8,B8_N1,,,,,
DRAM_CLK,Output,PIN_E5,8,B8_N1,,,,,
DRAM_CS_N,Output,PIN_G7,8,B8_N1,,,,,
DRAM_DQ[15],Bidir,PIN_F10,8,B8_N1,,,,,
DRAM_DQ[14],Bidir,PIN_E10,8,B8_N0,,,,,
DRAM_DQ[13],Bidir,PIN_A10,8,B8_N0,,,,,
DRAM_DQ[12],Bidir,PIN_B10,8,B8_N0,,,,,
DRAM_DQ[11],Bidir,PIN_C10,8,B8_N0,,,,,
DRAM_DQ[10],Bidir,PIN_A9,8,B8_N0,,,,,
DRAM_DQ[9],Bidir,PIN_B9,8,B8_N0,,,,,
DRAM_DQ[8],Bidir,PIN_A8,8,B8_N0,,,,,
DRAM_DQ[7],Bidir,PIN_F8,8,B8_N1,,,,,
DRAM_DQ[6],Bidir,PIN_H9,8,B8_N0,,,,,
DRAM_DQ[5],Bidir,PIN_G9,8,B8_N0,,,,,
DRAM_DQ[4],Bidir,PIN_F9,8,B8_N1,,,,,
DRAM_DQ[3],Bidir,PIN_E9,8,B8_N0,,,,,
DRAM_DQ[2],Bidir,PIN_H10,8,B8_N0,,,,,
DRAM_DQ[1],Bidir,PIN_G10,8,B8_N0,,,,,
DRAM_DQ[0],Bidir,PIN_D10,8,B8_N0,,,,,
DRAM_LDQM,Output,PIN_E7,8,B8_N1,,,,,
DRAM_RAS_N,Output,PIN_F7,8,B8_N1,,,,,
DRAM_UDQM,Output,PIN_B8,8,B8_N0,,,,,
DRAM_WE_N,Output,PIN_D6,8,B8_N1,,,,,
KEY[2],Input,PIN_F1,1,B1_N0,,,,,
KEY[1],Input,PIN_G3,1,B1_N0,,,,,
KEY[0],Input,PIN_H2,1,B1_N1,,,,,
UART_RXD,Input,PIN_U22,5,B5_N0,,,,,
UART_TXD,Output,PIN_U21,5,B5_N0,,,,,
LEDG[9],Unknown,PIN_B1,1,B1_N0,,,,,
LEDG[8],Unknown,PIN_B2,1,B1_N0,,,,,
LEDG[7],Unknown,PIN_C2,1,B1_N0,,,,,
LEDG[6],Unknown,PIN_C1,1,B1_N0,,,,,
LEDG[5],Unknown,PIN_E1,1,B1_N0,,,,,
LEDG[4],Unknown,PIN_F2,1,B1_N0,,,,,
LEDG[3],Unknown,PIN_H1,1,B1_N1,,,,,
LEDG[2],Unknown,PIN_J3,1,B1_N1,,,,,
LEDG[1],Unknown,PIN_J2,1,B1_N1,,,,,
LEDG[0],Unknown,PIN_J1,1,B1_N1,,,,,
SW[9],Unknown,PIN_D2,1,B1_N0,,,,,
SW[8],Unknown,PIN_E4,1,B1_N0,,,,,
SW[7],Unknown,PIN_E3,1,B1_N0,,,,,
SW[6],Unknown,PIN_H7,1,B1_N0,,,,,
SW[5],Unknown,PIN_J7,1,B1_N1,,,,,
SW[4],Unknown,PIN_G5,1,B1_N0,,,,,
SW[3],Unknown,PIN_G4,1,B1_N0,,,,,
SW[2],Unknown,PIN_H6,1,B1_N0,,,,,
SW[1],Unknown,PIN_H5,1,B1_N0,,,,,
SW[0],Unknown,PIN_J6,1,B1_N0,,,,,
FL_ADDR[21],Unknown,PIN_R2,2,B2_N0,,,,,
FL_ADDR[20],Unknown,PIN_P3,2,B2_N0,,,,,
FL_ADDR[19],Unknown,PIN_P1,2,B2_N0,,,,,
FL_ADDR[18],Unknown,PIN_M6,2,B2_N0,,,,,
FL_ADDR[17],Unknown,PIN_M5,2,B2_N0,,,,,
FL_ADDR[16],Unknown,PIN_AA2,2,B2_N1,,,,,
FL_ADDR[15],Unknown,PIN_L6,2,B2_N0,,,,,
FL_ADDR[14],Unknown,PIN_L7,2,B2_N0,,,,,
FL_ADDR[13],Unknown,PIN_M1,2,B2_N0,,,,,
FL_ADDR[12],Unknown,PIN_M2,2,B2_N0,,,,,
FL_ADDR[11],Unknown,PIN_M3,2,B2_N0,,,,,
FL_ADDR[10],Unknown,PIN_N1,2,B2_N0,,,,,
FL_ADDR[9],Unknown,PIN_N2,2,B2_N0,,,,,
FL_ADDR[8],Unknown,PIN_P2,2,B2_N0,,,,,
FL_ADDR[7],Unknown,PIN_M4,2,B2_N0,,,,,
FL_ADDR[6],Unknown,PIN_M8,2,B2_N1,,,,,
FL_ADDR[5],Unknown,PIN_N6,2,B2_N0,,,,,
FL_ADDR[4],Unknown,PIN_N5,2,B2_N0,,,,,
FL_ADDR[3],Unknown,PIN_N7,2,B2_N1,,,,,
FL_ADDR[2],Unknown,PIN_P6,2,B2_N1,,,,,
FL_ADDR[1],Unknown,PIN_P5,2,B2_N0,,,,,
FL_ADDR[0],Unknown,PIN_P7,2,B2_N1,,,,,
FL_BYTE_N,Unknown,PIN_AA1,2,B2_N1,,,,,
FL_CE_N,Unknown,PIN_N8,2,B2_N1,,,,,
FL_DQ[0],Unknown,PIN_R7,2,B2_N1,,,,,
FL_DQ[1],Unknown,PIN_P8,2,B2_N1,,,,,
FL_DQ[2],Unknown,PIN_R8,2,B2_N1,,,,,
FL_DQ[3],Unknown,PIN_U1,2,B2_N0,,,,,
FL_DQ[4],Unknown,PIN_V2,2,B2_N0,,,,,
FL_DQ[5],Unknown,PIN_V3,2,B2_N1,,,,,
FL_DQ[6],Unknown,PIN_W1,2,B2_N1,,,,,
FL_DQ[7],Unknown,PIN_Y1,2,B2_N1,,,,,
FL_DQ[8],Unknown,PIN_T5,2,B2_N1,,,,,
FL_DQ[9],Unknown,PIN_T7,2,B2_N1,,,,,
FL_DQ[10],Unknown,PIN_T4,2,B2_N1,,,,,
FL_DQ[11],Unknown,PIN_U2,2,B2_N0,,,,,
FL_DQ[12],Unknown,PIN_V1,2,B2_N0,,,,,
FL_DQ[13],Unknown,PIN_V4,2,B2_N1,,,,,
FL_DQ[14],Unknown,PIN_W2,2,B2_N1,,,,,
FL_OE_N,Unknown,PIN_R6,2,B2_N1,,,,,
FL_RST_N,Unknown,PIN_R1,2,B2_N0,,,,,
FL_RY,Unknown,PIN_M7,2,B2_N0,,,,,
FL_WE_N,Unknown,PIN_P4,2,B2_N0,,,,,
FL_WP_N,Unknown,PIN_T3,2,B2_N1,,,,,
FL_DQ15_AM1,Unknown,PIN_Y2,2,B2_N1,,,,,
PS2_KBCLK,Unknown,PIN_P22,5,B5_N0,,,,,
PS2_KBDAT,Unknown,PIN_P21,5,B5_N0,,,,,
PS2_MSCLK,Unknown,PIN_R21,5,B5_N0,,,,,
PS2_MSDAT,Unknown,PIN_R22,5,B5_N0,,,,,
UART_RTS,Unknown,PIN_V22,5,B5_N1,,,,,
UART_CTS,Unknown,PIN_V21,5,B5_N1,,,,,
SD_CLK,Unknown,PIN_Y21,5,B5_N1,,,,,
SD_CMD,Unknown,PIN_Y22,5,B5_N1,,,,,
SD_DAT0,Unknown,PIN_AA22,5,B5_N1,,,,,
SD_DAT3,Unknown,PIN_W21,5,B5_N1,,,,,
SD_WP_N,Unknown,PIN_W20,5,B5_N1,,,,,
LCD_DATA[7],Unknown,PIN_C20,6,B6_N0,,,,,
LCD_DATA[6],Unknown,PIN_D20,6,B6_N0,,,,,
LCD_DATA[5],Unknown,PIN_B21,6,B6_N0,,,,,
LCD_DATA[4],Unknown,PIN_B22,6,B6_N0,,,,,
LCD_DATA[3],Unknown,PIN_C21,6,B6_N0,,,,,
LCD_DATA[2],Unknown,PIN_C22,6,B6_N0,,,,,
LCD_DATA[1],Unknown,PIN_D21,6,B6_N0,,,,,
LCD_DATA[0],Unknown,PIN_D22,6,B6_N0,,,,,
LCD_RW,Unknown,PIN_E22,6,B6_N0,,,,,
LCD_RS,Unknown,PIN_F22,6,B6_N1,,,,,
LCD_EN,Unknown,PIN_E21,6,B6_N0,,,,,
LCD_BLON,Unknown,PIN_F21,6,B6_N0,,,,,
VGA_G[3],Unknown,PIN_J21,6,B6_N1,,,,,
VGA_G[2],Unknown,PIN_K17,6,B6_N1,,,,,
VGA_G[1],Unknown,PIN_J17,6,B6_N0,,,,,
VGA_G[0],Unknown,PIN_H22,6,B6_N1,,,,,
VGA_HS,Unknown,PIN_L21,6,B6_N1,,,,,
VGA_VS,Unknown,PIN_L22,6,B6_N1,,,,,
VGA_R[3],Unknown,PIN_H21,6,B6_N1,,,,,
VGA_R[2],Unknown,PIN_H20,6,B6_N0,,,,,
VGA_R[1],Unknown,PIN_H17,6,B6_N0,,,,,
VGA_R[0],Unknown,PIN_H19,6,B6_N0,,,,,
VGA_B[3],Unknown,PIN_K18,6,B6_N1,,,,,
VGA_B[2],Unknown,PIN_J22,6,B6_N1,,,,,
VGA_B[1],Unknown,PIN_K21,6,B6_N1,,,,,
VGA_B[0],Unknown,PIN_K22,6,B6_N1,,,,,
HEX0[0],Unknown,PIN_E11,7,B7_N1,,,,,
HEX0[1],Unknown,PIN_F11,7,B7_N1,,,,,
HEX0[2],Unknown,PIN_H12,7,B7_N1,,,,,
HEX0[3],Unknown,PIN_H13,7,B7_N1,,,,,
HEX0[4],Unknown,PIN_G12,7,B7_N1,,,,,
HEX0[5],Unknown,PIN_F12,7,B7_N1,,,,,
HEX0[6],Unknown,PIN_F13,7,B7_N1,,,,,
HEX0[7],Unknown,PIN_D13,7,B7_N1,,,,,
HEX1[6],Unknown,PIN_A15,7,B7_N1,,,,,
HEX1[5],Unknown,PIN_E14,7,B7_N1,,,,,
HEX1[4],Unknown,PIN_B14,7,B7_N1,,,,,
HEX1[3],Unknown,PIN_A14,7,B7_N1,,,,,
HEX1[2],Unknown,PIN_C13,7,B7_N1,,,,,
HEX1[1],Unknown,PIN_B13,7,B7_N1,,,,,
HEX1[0],Unknown,PIN_A13,7,B7_N1,,,,,
HEX1[7],Unknown,PIN_B15,7,B7_N1,,,,,
HEX2[6],Unknown,PIN_F14,7,B7_N0,,,,,
HEX2[5],Unknown,PIN_B17,7,B7_N1,,,,,
HEX2[4],Unknown,PIN_A17,7,B7_N1,,,,,
HEX2[3],Unknown,PIN_E15,7,B7_N0,,,,,
HEX2[2],Unknown,PIN_B16,7,B7_N1,,,,,
HEX2[1],Unknown,PIN_A16,7,B7_N1,,,,,
HEX2[0],Unknown,PIN_D15,7,B7_N0,,,,,
HEX2[7],Unknown,PIN_A18,7,B7_N0,,,,,
HEX3[6],Unknown,PIN_G15,7,B7_N0,,,,,
HEX3[5],Unknown,PIN_D19,7,B7_N0,,,,,
HEX3[4],Unknown,PIN_C19,7,B7_N0,,,,,
HEX3[3],Unknown,PIN_B19,7,B7_N0,,,,,
HEX3[2],Unknown,PIN_A19,7,B7_N0,,,,,
HEX3[1],Unknown,PIN_F15,7,B7_N0,,,,,
HEX3[0],Unknown,PIN_B18,7,B7_N0,,,,,
HEX3[7],Unknown,PIN_G16,7,B7_N0,,,,,
DRAM_BA[0],Unknown,PIN_B5,8,B8_N1,,,,,
DRAM_BA[1],Unknown,PIN_A4,8,B8_N1,,,,,
DRAM_ADDR[12],Unknown,PIN_C8,8,B8_N0,,,,,
CMV_LVDS_CLK(n),Input,PIN_AB12,4,B4_N1,LVDS,,,,CMV_LVDS_CLK
CMV_LVDS_OUTCTR(n),Input,PIN_Y17,4,B4_N0,LVDS,,,,CMV_LVDS_OUTCTR
